SpeciesCode,AgeDBH,MaximumBarkThickness
AbieConc,50,3.4
AbieMagn,100,3.7
AcerMacr,50,1.2
AescCali,50,1.2
AlnuRhom,40,1
ArbuMenz,60,4.3
CornNutt,40,1
CaloDecu,80,5.1
FX_R_SEED,20,0.5
JuniOcci,100,2.6
LithDens,80,1
NOFX_NOR_SEED,20,0.5
NOFX_R_SEED,20,0.5
PinuAlbi,100,1.3
PinuAtte,100,1.3
PinuCont,80,1.6
PinuJeff,80,5.3
PinuLamb,100,7
PinuMono,100,2.6
PinuMont,120,2.7
PinuPond,80,4.4
PinuSabi,80,3.4
PinuWash,80,4.4
PopuTrem,80,1.5
PseuMenz,80,5.9
QuerChry,50,1.9
QuerDoug,50,1.5
QuerGarr,50,1.5
QuerKell,50,1.6
QuerWisl,50,2.2
TaxuBrev,80,1
TorrCali,80,1
TsugMert,120,2.1
UmbeCali,80,1
